unique,treenum,treerow,rep,pop,sub,gall_survey,flash_sample,boink_sample,stems,height,diam_50cm
6_24_3,414,24,6,24,3,1,NA,NA,3,2.5,6.7
6_6_1,415,25,6,6,1,NA,NA,NA,3,3.85,8.2
6_6_2,416,26,6,6,2,NA,NA,NA,2,3.45,5.8
6_6_3,417,27,6,6,3,1,NA,NA,1,2.75,5.8
6_7_1,418,28,6,7,1,NA,NA,NA,2,3.4,9.9
6_7_2,419,29,6,7,2,1,NA,NA,1,3.1,6.4
6_7_3,420,30,6,7,3,NA,NA,NA,1,2.6,7.5
6_13_1,421,31,6,13,1,NA,NA,NA,1,2.3,4.2
6_13_2,422,32,6,13,2,1,NA,NA,1,3.5,7.3
6_13_3,423,33,6,13,3,NA,NA,NA,2,2.7,4
6_8_1,424,34,6,8,1,NA,NA,NA,1,3.9,8
6_8_2,425,35,6,8,2,1,NA,NA,1,3.3,6.9
6_8_3,426,36,6,8,3,NA,NA,NA,2,3.1,5.1
6_17_1,427,37,6,17,1,NA,NA,NA,1,3.25,7.1
6_17_2,428,38,6,17,2,NA,NA,NA,2,2.75,5.5
6_17_3,429,39,6,17,3,1,NA,NA,1,3.8,6.1
5_3_1,334,22,5,3,1,NA,NA,NA,2,2.25,3.6
6_18_2,431,41,6,18,2,1,NA,NA,1,3.6,7.6
5_26_1,346,34,5,26,1,NA,NA,NA,2,1.7,3
6_21_1,433,43,6,21,1,NA,NA,NA,2,2.75,3
6_21_2,434,44,6,21,2,1,NA,NA,2,3.1,4.9
6_21_3,435,45,6,21,3,NA,NA,NA,1,3.25,9.9
6_19_1,436,46,6,19,1,NA,NA,NA,1,2.75,4.2
6_19_2,437,47,6,19,2,NA,NA,NA,4,1.25,3.3
6_19_3,438,48,6,19,3,1,NA,NA,1,4.1,7.2
6_23_1,439,49,6,23,1,NA,NA,NA,2,1.8,4.4
6_23_2,440,50,6,23,2,1,NA,NA,1,2.8,5.8
6_23_3,441,51,6,23,3,NA,NA,NA,1,2.7,4.8
6_10_1,442,52,6,10,1,NA,NA,NA,1,3.6,7.4
6_10_2,443,53,6,10,2,NA,NA,NA,2,2.9,5.1
6_10_3,444,54,6,10,3,1,NA,NA,1,3.25,7.2
6_11_1,445,55,6,11,1,NA,NA,NA,1,4,9.1
6_11_2,446,56,6,11,2,1,NA,NA,1,3.5,7
6_11_3,447,57,6,11,3,NA,NA,NA,1,3.7,5.5
6_12_1,448,58,6,12,1,NA,NA,NA,2,3.4,8.5
6_12_2,449,59,6,12,2,1,NA,NA,1,3.15,5.8
6_12_3,450,60,6,12,3,NA,NA,NA,2,3,4.6
6_3_1,451,61,6,3,1,NA,NA,1,1,3.4,7.3
6_3_2,452,62,6,3,2,1,NA,NA,1,2.8,4.9
2_26_3,111,33,2,26,3,1,1,NA,1,2.3,2.69
4_26_3,300,66,4,26,3,NA,NA,NA,4,1.75,1.9
6_15_2,455,65,6,15,2,1,NA,NA,1,3.3,7.4
3_22_3,174,18,3,22,3,NA,NA,NA,3,1.5,1.6
6_20_1,457,67,6,20,1,1,NA,NA,1,4.2,7.6
6_20_2,458,68,6,20,2,NA,NA,NA,2,3.1,5
6_20_3,459,69,6,20,3,NA,NA,NA,2,3,4.7
4_16_3,276,42,4,16,3,NA,NA,NA,1,3,1.21
6_1_2,461,71,6,1,2,NA,NA,NA,3,3.5,6
2_22_3,99,21,2,22,3,NA,NA,NA,3,1,0.9
6_4_1,463,73,6,4,1,NA,NA,NA,3,2.75,4.5
6_4_2,464,74,6,4,2,NA,NA,NA,2,3.3,6.2
6_4_3,465,75,6,4,3,1,NA,NA,2,3.5,7.4
2_26_1,109,31,2,26,1,NA,NA,NA,6,1.1,0.83
6_22_2,467,77,6,22,2,NA,NA,NA,1,2.9,4.9
6_22_3,468,78,6,22,3,1,NA,1,1,2.8,6.3
