site.pop,site,pop,rep,ind.x,ind.id,pop.name,mkleaf,sdkleaf,nkleaf,mkstem,sdkstem,nkstem,mkstem.sa.l,mWD,nWD,mleafsize,nhub,mstemlength,mstemarea,mleafarea,mleafmass,mstemmass,mSLA,mLDMC,mml_ms,P50leaf,P50stem,mAl_As,log.Al_As,log.leafsize,cwd,aet,pet,ppt,tmn,tmx,cwd.2018wy,aet.2018wy,pet.2018wy,ppt.2018wy,tmn.2018wy,tmx.2018wy
W18,W,18,1,NA,W18_1,SON,1.806471756,0.203401222,5,47.21987251,8.22133919,3,846.8075496,0.708032227,3,5.261403509,3,121.5466667,4.188502225,80,1.199,0.36,67.37491013,0.449489531,3.50004006,NA,-0.98,18.11362981,1.258005488,0.72110161,981.6850146,290.5950043,1284.692519,454.6725068,7.928645656,23.48758337,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
W18,W,18,2,NA,W18_2,SON,2.263711562,0.43215752,4,29.86161139,1.692114928,2,163.636297,0.716679643,3,6.252046784,3,81.26,4.262434373,75.33333333,0.9958,0.26,77.03434287,0.408196013,4.369477625,-3.9,-4.66,14.21101369,1.152625058,0.796022219,981.6850146,290.5950043,1284.692519,454.6725068,7.928645656,23.48758337,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
W18,W,18,3,NA,W18_3,SON,1.750190298,0.225120841,3,60.06550687,7.291296672,3,815.7283478,0.733373923,3,4.984343434,3,63.92666667,2.161860805,51.66666667,0.565833333,0.126666667,92.67063276,0.376446005,4.611527778,-3.9,-3.98,18.21886029,1.260521205,0.697607959,981.6850146,290.5950043,1284.692519,454.6725068,7.928645656,23.48758337,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
W18,W,18,4,NA,W18_4,SON,2.219228096,0.249268981,5,37.00513041,23.27648264,2,675.8712176,0.704139101,2,5.137426901,3,85.78333333,5.012882318,69.66666667,0.9239,0.25,77.95772593,0.476713398,4.897777778,NA,-4.46,13.88458396,1.142532871,0.710745655,981.6850146,290.5950043,1284.692519,454.6725068,7.928645656,23.48758337,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
W18,W,18,5,NA,W18_5,SON,1.60370754,0.05353019,3,29.44337205,7.779540236,3,462.4303213,0.709467981,3,4.383012821,3,69.15333333,2.620245353,56.33333333,0.636233333,0.17,89.40265914,0.471453054,4.279796627,NA,-2.24,19.586648,1.291960118,0.641772741,981.6850146,290.5950043,1284.692519,454.6725068,7.928645656,23.48758337,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
W22,W,22,3,NA,W22_3,SJR,2.070927668,0.233971277,3,27.90870621,8.408335697,2,1088.398236,0.709480122,1,10.16501372,0,NA,NA,83.7526,NA,NA,NA,NA,NA,-3.14,-3.84,28.54603,1.455545718,1.007107969,993.3000148,354.3625053,1367.29002,471.685007,7.802395659,24.51885417,1093.829991,311.7699938,1405.599983,325.139994,9.708333373,25.4391667
W22,W,22,4,NA,W22_4,SJR,1.985521185,0.178232912,4,35.91474216,14.4359389,2,527.429589,0.757493724,2,7.331755316,0,NA,NA,74.33714286,0.91282,NA,89.28444821,NA,NA,-3.67,-4.07,30.08049887,1.478285035,0.865207963,993.3000148,354.3625053,1367.29002,471.685007,7.802395659,24.51885417,1093.829991,311.7699938,1405.599983,325.139994,9.708333373,25.4391667
W22,W,22,5,NA,W22_5,SJR,2.123308991,0.534110216,4,42.01074208,5.016643653,3,1101.399625,0.722479186,1,8.142249242,0,NA,NA,99.24625,0.5863,NA,103.8035136,0.425163162,NA,NA,-5.65,29.76394998,1.473690566,0.910744392,993.3000148,354.3625053,1367.29002,471.685007,7.802395659,24.51885417,1093.829991,311.7699938,1405.599983,325.139994,9.708333373,25.4391667
W26,W,26,1,NA,W26_1,SMR,2.484016953,0.244237005,3,80.77754923,17.75861041,2,734.9451538,0.691736495,3,3.659090909,3,64.74666667,3.143844128,38.66666667,0.686633333,0.16,56.59887386,0.463703997,5.433249158,NA,NA,12.55931002,1.098965781,0.5633732,985.8075147,355.4100053,1351.91752,560.4525084,8.560978975,23.0505417,1035.599998,345.6000028,1381.199997,294.3299987,9.929999948,24.52666672
W26,W,26,2,NA,W26_2,SMR,2.192318795,0.263517336,3,69.1689263,22.30167625,4,1475.612815,0.628107968,3,5.138461538,3,64.59333333,2.775728009,63,0.828466667,0.103333333,75.63633349,0.386305945,8.426468254,-3.76,-4.59,23.85254715,1.377534763,0.71083311,985.8075147,355.4100053,1351.91752,560.4525084,8.560978975,23.0505417,1035.599998,345.6000028,1381.199997,294.3299987,9.929999948,24.52666672
W26,W,26,3,NA,W26_3,SMR,1.958887258,0.330219422,5,40.55914847,23.33775892,3,578.7443305,0.756072686,3,5.018981481,3,88.53333333,5.07186572,70,1.064433333,0.486666667,65.49176005,0.419889101,2.886983629,-2.93,-3.67,20.98476832,1.321904179,0.700615593,985.8075147,355.4100053,1351.91752,560.4525084,8.560978975,23.0505417,1035.599998,345.6000028,1381.199997,294.3299987,9.929999948,24.52666672
